"Дата";"Регион";"Регион население";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
01.11.2020;Дагестан;3063885;16133;14477;781;2;87;91
20.03.2020;Ставропольский край;2800674;0;0;0;0;0;0
26.11.2020;Адыгея;453376;7690;6244;63;1;79;66
27.03.2020;Забайкальский край;1072806;1;1;0;0;0;0
22.07.2020;Приморский край;1913037;5838;4350;66;1;104;94
14.02.2021;Бурятия;984511;32191;29794;689;1;105;83
12.03.2021;Саратовская обл.;2462950;51698;46521;707;7;171;152
03.03.2021;Калининградская обл.;994599;28497;25857;265;5;87;112
05.12.2020;Орловская обл.;747247;16820;14808;211;3;152;273
30.04.2021;Нижегородская обл.;3234752;113967;109280;3180;16;171;189
03.02.2021;Оренбургская обл.;1977720;34555;30752;492;5;154;156
22.04.2021;Красноярский край;2876497;69422;64031;3416;10;116;102
04.11.2020;Кемеровская обл.;2694877;16018;11820;238;4;195;234
15.03.2020;Марий Эл;682333;0;0;0;0;0;0
29.03.2021;Татарстан;3894284;19348;16120;412;0;38;9
19.04.2021;Еврейская АО;162014;4463;4273;125;0;1;1
30.05.2020;Волгоградская обл.;2521276;2868;981;18;0;154;69
26.08.2020;Пермский край;2623122;7580;5314;203;1;57;40
11.06.2020;Удмуртия;1513044;1031;516;12;0;20;14
03.05.2020;Костромская обл.;643324;253;45;3;0;12;3
27.10.2020;Краснодарский край;5603420;16854;11455;395;4;120;44
18.07.2020;Курганская обл.;845537;1703;817;3;0;50;21
27.12.2020;Тверская обл.;1283873;21320;16848;444;0;238;402
26.04.2021;ХМАО – Югра;1655074;55805;54469;791;1;54;43
07.10.2020;Ульяновская обл.;1246618;16452;13701;173;0;148;47
22.10.2020;Ленинградская обл.;1813816;10269;6096;107;0;109;42
23.03.2020;Саха (Якутия);964330;7;0;0;0;0;0
11.01.2021;Мордовия;805056;14434;11965;103;2;85;72
24.08.2020;Белгородская обл.;1549876;7074;6185;51;0;41;13
06.08.2020;Новгородская обл.;606476;3859;2683;72;0;16;48
13.01.2021;Магаданская обл.;144091;7403;6943;72;1;27;25
